,0,1,2,3
0,-408.0493404438509,-283.20123034809603,-286.6318857357414,-294.91174448047894
1,-354.5331923500509,-356.6948588078202,-388.7223082449129,-232.65077351373134
2,-178.9198950626427,-274.7967611268323,-344.67900568862797,-251.2958494723053
3,-284.70473535098614,-332.04924255659034,-351.7340756089588,-255.05299669987343
4,-256.8673468389307,-404.15214628902714,-207.02422165223058,-220.72052508908203
5,-376.7047860297131,-292.8458310510815,-258.1700485700226,-278.64792636732204
6,-284.8647748220121,-142.4521459341974,-195.02647400786063,-354.89382173856876
7,-271.8763420674871,-238.60944655456208,-267.56182184544815,-337.222170165558
8,-162.5035766481473,-305.89995245814674,-239.90620083640235,-296.01947498768953
9,-251.79961522831923,-257.31622245415235,-278.4411655084426,-249.83058142335315
10,-265.9343794621429,-190.91600317702833,-196.33043912185076,-265.5519129915102
11,-279.82101186113357,-225.00056825085227,-220.32756993595248,-256.57602742437575
12,-300.17751367438336,-260.5628893330355,-254.43181014332984,-302.76791120559346
13,-137.56339334813396,-191.18484032139042,-197.67593140077668,-281.5205241560998
14,-209.7817160220747,-293.4553317154702,-167.4145131891671,-162.9820348398668
15,-187.89140795912638,-163.7903005214907,-103.84048215870217,-208.4648898068551
16,-243.04130026551414,-235.33700411617107,-196.11772660202266,-328.8200096454846
17,-238.96739234289527,-228.23648128998593,-248.23093877440465,-206.0947740478157
18,-187.6066119149486,-243.29976684918657,-152.09033089340465,-252.56067266618928
19,-201.78221721685566,-161.4294845659382,-157.59413890389695,-204.3007675895441
20,-137.88002881790706,-258.83119054107783,-212.12584935212845,-235.064395301081
21,-219.7213259872924,-243.2750182712993,-204.87346752780573,-304.07558551959687
22,-274.495683046739,-130.5124083599897,-235.85246552470724,-142.17595734103898
23,-252.26557591892495,-151.67036597914318,-157.52554799300748,-169.0326294631036
24,-250.0934305673505,-195.25930298538037,-183.55991278119544,-208.22610424032402
25,-165.35862604905813,-173.0286672309285,-132.20186702439318,-83.30108527318487
26,-41.35288488963283,-50.705921133182066,-234.63248354790656,-191.6746783442624
27,-207.42006354213513,-171.7053027244159,-163.0038040032284,-104.31254573722289
28,-150.353598480828,-148.5397082427651,-111.89094200067335,-187.80222258526518
29,-212.82256128583305,-249.4677324213931,-93.1373599617213,-58.67879401762907
30,-139.0408759150275,-142.49616275678372,-152.54438909091309,-114.85188713721165
31,-148.00263650569607,-124.2383242072442,-214.9420042358516,-157.87652552569173
32,-86.85767453054477,-165.52142853503685,-71.94179328176322,-8.721190892956622
33,-121.0436518556721,-51.70079488637511,-113.41535396542913,-81.89810029381239
34,-74.82514774172697,-94.053767999882,-230.2503412018037,-86.16074667452523
35,-74.61029982067194,-161.42709139189344,-125.9714624783076,-133.91941015060834
36,-18.12551053431661,-76.17261775628064,-190.1548013491766,-91.581735154633
37,-234.06448545869023,-82.61843581516824,-50.95036973629702,-75.99664789528062
38,-126.76131251585404,-111.99398518937814,-71.96369991022667,-152.700253414727
39,40.52168680565843,-203.37938647038476,-115.04521088239892,-42.76064430888559
40,-93.01196496211521,-139.38915264026915,-88.41733017286703,-104.97427714500827
41,-123.79037033107419,-51.38699032564463,-192.0222213567424,-105.95151635048813
42,10.130494576149387,-62.63680094147888,-128.26911502215333,-117.28573482194022
43,-62.671146476324964,-16.49012066261498,-46.284420532950506,-58.81470028277914
44,-73.2631111127908,-9.641467202552741,-52.76664559572752,-72.86912409178737
45,-73.27276912349072,-3.131667269197769,-149.63390601832117,-71.11462875148482
46,-90.65397608934856,-26.879233240386533,-72.69174001382308,51.42080203074472
47,12.599592431512077,48.70097668462993,-15.687931138823965,-113.79840574199692
48,-45.69705929354635,16.685939974311975,78.5706868008541,21.704737026641702
49,-18.321196123315445,2.8729657681699177,-25.71298206390979,8.419263152151142
50,-55.41810898516981,-60.28154132055795,4.050588152393667,-70.11607734026691
51,47.51184437407701,8.454651103376307,24.178208937130837,-74.80976260555026
52,0.24842145335238242,-67.14975033015554,60.3489638112423,-27.6190833364442
53,-5.142105638087104,68.51631303493745,26.801638761399968,-27.521207001672973
